Graph, Category,Persistent Bytes,# Persistent,# Transient,Total Bytes,# Total,Transient/Total Bytes,
0,Malloc 176 Bytes,4.81 KiB,28,2902,503.59 KiB,2930,Ratio: %0.00,0.00%
0,Malloc 352 Bytes,4.47 KiB,13,457,161.56 KiB,470,Ratio: %0.00,0.00%
0,Malloc 624 Bytes,4.27 KiB,7,54,37.17 KiB,61,Ratio: %0.00,0.00%
0,CFArray (store-deque),3.86 KiB,43,2744,343.19 KiB,2787,Ratio: %0.00,0.00%
0,Malloc 832 Bytes,3.25 KiB,4,24,22.75 KiB,28,Ratio: %0.00,0.00%
0,icu::UnicodeSet,3.19 KiB,34,18,4.88 KiB,52,Ratio: %0.00,0.00%
0,Malloc 640 Bytes,3.12 KiB,5,49,33.75 KiB,54,Ratio: %0.00,0.00%
0,OS_dispatch_group,2.97 KiB,38,715,58.83 KiB,753,Ratio: %0.00,0.00%
0,OS_dispatch_mach,2.95 KiB,21,7,3.94 KiB,28,Ratio: %0.00,0.00%
0,Malloc 704 Bytes,2.75 KiB,4,62,45.38 KiB,66,Ratio: %0.00,0.00%
0,Malloc 864 Bytes,2.53 KiB,3,23,21.94 KiB,26,Ratio: %0.00,0.00%
0,OS_dispatch_queue_serial,2.50 KiB,20,74,11.75 KiB,94,Ratio: %0.00,0.00%
0,TFileFragmentReference,2.39 KiB,17,3,2.81 KiB,20,Ratio: %0.00,0.00%
0,icu::UVector,2.34 KiB,50,41,4.27 KiB,91,Ratio: %0.00,0.00%
0,Malloc 592 Bytes,1.73 KiB,3,72,43.36 KiB,75,Ratio: %0.00,0.00%
0,CUIBOM_malloc,1.73 KiB,5,179,6.63 MiB,184,Ratio: %0.00,0.00%
0,CGColorSpace,1.69 KiB,18,9,2.53 KiB,27,Ratio: %0.00,0.00%
0,OS_dispatch_queue_runloop,1.62 KiB,13,6,2.38 KiB,19,Ratio: %0.00,0.00%
0,CUIBitmapVector,1.56 KiB,20,39,4.61 KiB,59,Ratio: %0.00,0.00%
0,icu::DateFormatSymbols,1.50 KiB,1,6,10.50 KiB,7,Ratio: %0.00,0.00%
0,icu::OlsonTimeZone,1.31 KiB,6,424,94.06 KiB,430,Ratio: %0.00,0.00%
0,icu::Calendar,1.28 KiB,2,418,269.06 KiB,420,Ratio: %0.00,0.00%
0,ColorSyncProfile,1.09 KiB,7,71,12.19 KiB,78,Ratio: %0.00,0.00%
0,pthread_rwlock_t,1.02 KiB,5,791,161.69 KiB,796,Ratio: %0.00,0.00%
0,icu::RegexMatcher,"1,008 Bytes",3,4,2.30 KiB,7,Ratio: %0.00,0.00%
0,Malloc 992 Bytes,992 Bytes,1,14,14.53 KiB,15,Ratio: %0.00,0.00%
0,Malloc 960 Bytes,960 Bytes,1,37,35.62 KiB,38,Ratio: %0.00,0.00%
0,icu::SimpleDateFormat,832 Bytes,1,3,3.25 KiB,4,Ratio: %0.00,0.00%
0,icu::DecimalFormat,832 Bytes,2,51,21.53 KiB,53,Ratio: %0.00,0.00%
0,Malloc 736 Bytes,736 Bytes,1,45,33.06 KiB,46,Ratio: %0.00,0.00%
0,icu::RegexPattern,672 Bytes,3,4,1.53 KiB,7,Ratio: %0.00,0.00%
0,TubeManager,640 Bytes,4,4,1.25 KiB,8,Ratio: %0.00,0.00%
0,"std::__1::__shared_ptr_emplace<TCPIOConnection, std::__1::allocator<TCPIOConnection> >",624 Bytes,1,24,15.23 KiB,25,Ratio: %0.00,0.00%
0,XTubeManager,576 Bytes,4,5,1.27 KiB,9,Ratio: %0.00,0.00%
0,CFBasicHash (count-store),512 Bytes,32,90,1.91 KiB,122,Ratio: %0.00,0.00%
0,HTTPConnectionCache,512 Bytes,4,1,640 Bytes,5,Ratio: %0.00,0.00%
0,CGColorTransform,448 Bytes,4,210,23.41 KiB,214,Ratio: %0.00,0.00%
0,GlueTubeManager,448 Bytes,4,4,896 Bytes,8,Ratio: %0.00,0.00%
0,"std::__1::__shared_ptr_emplace<HTTPEngine, std::__1::allocator<HTTPEngine> >",352 Bytes,1,21,7.56 KiB,22,Ratio: %0.00,0.00%
0,icu::TextTrieMap,320 Bytes,1,1,464 Bytes,2,Ratio: %0.00,0.00%
0,MemoryCookies,288 Bytes,6,3,432 Bytes,9,Ratio: %0.00,0.00%
0,"std::__1::__shared_ptr_emplace<HTTPConnection, std::__1::allocator<HTTPConnection> >",288 Bytes,1,21,6.19 KiB,22,Ratio: %0.00,0.00%
0,"std::__1::__shared_ptr_emplace<HTTPConnectionAuthenticator, std::__1::allocator<HTTPConnectionAuthenticator> >",288 Bytes,1,21,6.19 KiB,22,Ratio: %0.00,0.00%
0,OS_dispatch_queue_concurrent,256 Bytes,2,8,1.25 KiB,10,Ratio: %0.00,0.00%
0,"std::__1::__shared_ptr_emplace<TCharStreamCFAttrString, std::__1::allocator<TCharStreamCFAttrString> >",240 Bytes,3,22,1.95 KiB,25,Ratio: %0.00,0.00%
0,icu::UVector64,192 Bytes,6,8,448 Bytes,14,Ratio: %0.00,0.00%
0,HTTPConnectionCacheDictionary,192 Bytes,4,1,240 Bytes,5,Ratio: %0.00,0.00%
0,"std::__1::__shared_ptr_emplace<realm::SlabAlloc::MappedFile, std::__1::allocator<realm::SlabAlloc::MappedFile> >",176 Bytes,1,1,352 Bytes,2,Ratio: %0.00,0.00%
0,google::protobuf::DescriptorProto,160 Bytes,1,20,3.28 KiB,21,Ratio: %0.00,0.00%
0,"std::__1::__shared_ptr_emplace<HTTPConnectionCacheEntry, std::__1::allocator<HTTPConnectionCacheEntry> >",160 Bytes,1,10,1.72 KiB,11,Ratio: %0.00,0.00%
0,OS_dispatch_mach_msg,144 Bytes,1,4248,6.82 MiB,4249,Ratio: %0.00,0.00%
0,CFXURLCache,144 Bytes,3,3,288 Bytes,6,Ratio: %0.00,0.00%
0,NSXCredentialStorage,128 Bytes,4,5,288 Bytes,9,Ratio: %0.00,0.00%
0,CFXCookieStorage,128 Bytes,4,3,224 Bytes,7,Ratio: %0.00,0.00%
0,google::protobuf::FileOptions,112 Bytes,1,1,224 Bytes,2,Ratio: %0.00,0.00%
0,QCoreSchedulingSet,112 Bytes,1,5,672 Bytes,6,Ratio: %0.00,0.00%
0,HTTPConnectionCacheKey,112 Bytes,1,137,15.09 KiB,138,Ratio: %0.00,0.00%
0,CA::Display::DisplayLink,112 Bytes,1,20,2.30 KiB,21,Ratio: %0.00,0.00%
0,google::protobuf::FieldOptions,96 Bytes,1,2,288 Bytes,3,Ratio: %0.00,0.00%
0,icu::UVector32,96 Bytes,3,4,224 Bytes,7,Ratio: %0.00,0.00%
0,icu::NumberingSystem,96 Bytes,1,5,576 Bytes,6,Ratio: %0.00,0.00%
0,google::protobuf::FieldDescriptorProto,80 Bytes,1,81,6.41 KiB,82,Ratio: %0.00,0.00%
0,google::protobuf::EnumDescriptorProto,64 Bytes,1,4,320 Bytes,5,Ratio: %0.00,0.00%
0,"RetainableTypedDict<CoreSchedulingSet const*, GlueTubeManager*>",64 Bytes,4,5,144 Bytes,9,Ratio: %0.00,0.00%
0,"std::__1::__shared_ptr_pointer<__CFString const*, Deleter_CFRelease, std::__1::allocator<__CFString const> >",64 Bytes,2,303,9.53 KiB,305,Ratio: %0.00,0.00%
0,google::protobuf::EnumValueDescriptorProto,48 Bytes,1,27,1.31 KiB,28,Ratio: %0.00,0.00%
0,HTTPConnectionCacheEntryWrapper,48 Bytes,1,10,528 Bytes,11,Ratio: %0.00,0.00%
0,google::protobuf::DescriptorProto_ExtensionRange,32 Bytes,1,7,256 Bytes,8,Ratio: %0.00,0.00%
0,NSXURLCache,32 Bytes,1,2,96 Bytes,3,Ratio: %0.00,0.00%
0,HTTPConnectionCacheEntry::ConnectionArray,32 Bytes,1,10,352 Bytes,11,Ratio: %0.00,0.00%
0,AuthenticationCache,32 Bytes,1,13,448 Bytes,14,Ratio: %0.00,0.00%
0,HTTPConnectionCacheEntry::RequestQueues,32 Bytes,1,10,352 Bytes,11,Ratio: %0.00,0.00%
0,"std::__1::__shared_ptr_pointer<HTTPResponseMessage*, Deleter_release<HTTPResponseMessage>, std::__1::allocator<HTTPResponseMessage> >",32 Bytes,1,260,8.16 KiB,261,Ratio: %0.00,0.00%
0,AuthenticationConfiguration,16 Bytes,1,159,2.50 KiB,160,Ratio: %0.00,0.00%
0,Malloc 200.00 KiB,0 Bytes,0,8,1.56 MiB,8,Ratio: %0.00,0.00%
0,CFUtilities (file-bytes),0 Bytes,0,20,365.31 KiB,20,Ratio: %0.00,0.00%
0,Malloc 40.50 KiB,0 Bytes,0,6,243.00 KiB,6,Ratio: %0.00,0.00%
0,Malloc 15.50 KiB,0 Bytes,0,64,992.00 KiB,64,Ratio: %0.00,0.00%
0,Malloc 17.50 KiB,0 Bytes,0,10,175.00 KiB,10,Ratio: %0.00,0.00%
0,Malloc 18.50 KiB,0 Bytes,0,16,296.00 KiB,16,Ratio: %0.00,0.00%
0,Malloc 20.50 KiB,0 Bytes,0,11,225.50 KiB,11,Ratio: %0.00,0.00%
0,Malloc 21.00 KiB,0 Bytes,0,13,273.00 KiB,13,Ratio: %0.00,0.00%
0,Malloc 21.50 KiB,0 Bytes,0,7,150.50 KiB,7,Ratio: %0.00,0.00%
0,Malloc 928 Bytes,0 Bytes,0,50,45.31 KiB,50,Ratio: %0.00,0.00%
0,Malloc 32.00 KiB,0 Bytes,0,124,3.88 MiB,124,Ratio: %0.00,0.00%
0,CG::Path::RoundedRect,0 Bytes,0,2,128 Bytes,2,Ratio: %0.00,0.00%
0,Malloc 64.00 KiB,0 Bytes,0,9,576.00 KiB,9,Ratio: %0.00,0.00%
0,HTTPBodyData,0 Bytes,0,292,9.12 KiB,292,Ratio: %0.00,0.00%
0,SessionConnectionLoadable,0 Bytes,0,197,12.31 KiB,197,Ratio: %0.00,0.00%
0,Throttler,0 Bytes,0,203,25.38 KiB,203,Ratio: %0.00,0.00%
0,"std::__1::__shared_ptr_emplace<AuthenticationState, std::__1::allocator<AuthenticationState> >",0 Bytes,0,138,23.72 KiB,138,Ratio: %0.00,0.00%
0,"std::__1::__shared_ptr_pointer<__CFHTTPMessage*, Deleter_CFRelease, std::__1::allocator<__CFHTTPMessage> >",0 Bytes,0,138,4.31 KiB,138,Ratio: %0.00,0.00%
0,Tube,0 Bytes,0,25,6.25 KiB,25,Ratio: %0.00,0.00%
0,"std::__1::__shared_ptr_pointer<TubeManager*, TubeManager::_onqueue_createNewTube(HTTPConnectionCacheKey*)::$_0, std::__1::allocator<TubeManager> >",0 Bytes,0,8,256 Bytes,8,Ratio: %0.00,0.00%
0,AwaitingTube,0 Bytes,0,9,"1,008 Bytes",9,Ratio: %0.00,0.00%
0,"std::__1::__shared_ptr_pointer<__CFDictionary*, Deleter_CFRelease, std::__1::allocator<__CFDictionary> >",0 Bytes,0,163,5.09 KiB,163,Ratio: %0.00,0.00%
0,"std::__1::__shared_ptr_pointer<__CFString*, Deleter_CFRelease, std::__1::allocator<__CFString> >",0 Bytes,0,584,18.25 KiB,584,Ratio: %0.00,0.00%
0,"std::__1::__shared_ptr_pointer<Tube*, Deleter_CustomBlock, std::__1::allocator<Tube> >",0 Bytes,0,25,1.17 KiB,25,Ratio: %0.00,0.00%
0,SyncClient,0 Bytes,0,5,400 Bytes,5,Ratio: %0.00,0.00%
0,URLConnectionClient,0 Bytes,0,5,1.56 KiB,5,Ratio: %0.00,0.00%
0,URLConnectionLoader,0 Bytes,0,5,960 Bytes,5,Ratio: %0.00,0.00%
0,icu::TimeZone,0 Bytes,0,364,79.62 KiB,364,Ratio: %0.00,0.00%
0,HTTPConnectionCacheEntry::EnqueuedRequest,0 Bytes,0,152,11.88 KiB,152,Ratio: %0.00,0.00%
0,"std::__1::__shared_ptr_pointer<HTTPConnectionCacheEntry::EnqueuedRequest*, HTTPConnectionCacheEntry::_prepareNewRequest(MetaConnectionCacheClient*, HTTPRequestMessage const*, MetaConnectionOptions)::$_0, std::__1::allocator<HTTPConnectionCacheEntry::EnqueuedRequest> >",0 Bytes,0,152,4.75 KiB,152,Ratio: %0.00,0.00%
0,"std::__1::__shared_ptr_emplace<HTTPConnectionCacheEntry::RequestQueue, std::__1::allocator<HTTPConnectionCacheEntry::RequestQueue> >",0 Bytes,0,7,448 Bytes,7,Ratio: %0.00,0.00%
0,"std::__1::__shared_ptr_pointer<BlockHolderVar<std::__1::shared_ptr<NetworkProxy>, bool, CFStreamError>*, SmartBlockWithArgs<std::__1::shared_ptr<NetworkProxy>, bool, CFStreamError>::Deleter, std::__1::allocator<BlockHolderVar<std::__1::shared_ptr<NetworkProxy>, bool, CFStreamError> > >",0 Bytes,0,25,800 Bytes,25,Ratio: %0.00,0.00%
0,"std::__1::__shared_ptr_pointer<Tube*, Tube::postConnectConfiguration(tcp_connection*, void (dispatch_data_s*, __CFDictionary const*) block_pointer)::$_1, std::__1::allocator<Tube> >",0 Bytes,0,25,800 Bytes,25,Ratio: %0.00,0.00%
0,NetworkProxyConfiguration,0 Bytes,0,25,800 Bytes,25,Ratio: %0.00,0.00%
0,HTTPTransactionWrapper,0 Bytes,0,135,6.33 KiB,135,Ratio: %0.00,0.00%
0,"std::__1::__shared_ptr_emplace<HTTPTransaction, std::__1::allocator<HTTPTransaction> >",0 Bytes,0,135,42.19 KiB,135,Ratio: %0.00,0.00%
0,"std::__1::__shared_ptr_pointer<HTTPRequestMessage*, Deleter_release<HTTPRequestMessage>, std::__1::allocator<HTTPRequestMessage> >",0 Bytes,0,135,4.22 KiB,135,Ratio: %0.00,0.00%
0,"std::__1::__shared_ptr_pointer<__CFReadStream*, Deleter_CFRelease, std::__1::allocator<__CFReadStream> >",0 Bytes,0,138,4.31 KiB,138,Ratio: %0.00,0.00%
0,"std::__1::__shared_ptr_pointer<HTTPProtocol*, Deleter_release<HTTPProtocol>, std::__1::allocator<HTTPProtocol> >",0 Bytes,0,138,4.31 KiB,138,Ratio: %0.00,0.00%
0,CapturedProperties,0 Bytes,0,135,2.11 KiB,135,Ratio: %0.00,0.00%
0,"std::__1::__shared_ptr_emplace<AuthenticationInfo, std::__1::allocator<AuthenticationInfo> >",0 Bytes,0,138,12.94 KiB,138,Ratio: %0.00,0.00%
0,"std::__1::__shared_ptr_pointer<facebook::react::JSCExecutorFactory*, std::__1::default_delete<facebook::react::JSCExecutorFactory>, std::__1::allocator<facebook::react::JSCExecutorFactory> >",0 Bytes,0,1,32 Bytes,1,Ratio: %0.00,0.00%
0,"std::__1::__function::__func<facebook::react::Instance::initializeBridge(std::__1::unique_ptr<facebook::react::InstanceCallback, std::__1::default_delete<facebook::react::InstanceCallback> >, std::__1::shared_ptr<facebook::react::JSExecutorFactory>, std::__1::shared_ptr<facebook::react::MessageQueueThread>, std::__1::shared_ptr<facebook::react::ModuleRegistry>)::$_0, std::__1::allocator<facebook::react::Instance::initializeBridge(std::__1::unique_ptr<facebook::react::InstanceCallback, std::__1::default_delete<facebook::react::InstanceCallback> >, std::__1::shared_ptr<facebook::react::JSExecutorFactory>, std::__1::shared_ptr<facebook::react::MessageQueueThread>, std::__1::shared_ptr<facebook::react::ModuleRegistry>)::$_0>, void ()>",0 Bytes,0,1,48 Bytes,1,Ratio: %0.00,0.00%
0,"std::__1::__function::__func<facebook::react::RCTMessageThread::runOnQueueSync(std::__1::function<void ()>&&)::$_2, std::__1::allocator<facebook::react::RCTMessageThread::runOnQueueSync(std::__1::function<void ()>&&)::$_2>, void ()>",0 Bytes,0,1,80 Bytes,1,Ratio: %0.00,0.00%
0,BaseSocketStreamClient,0 Bytes,0,1,16 Bytes,1,Ratio: %0.00,0.00%
0,__NSCFClosedWriteStream,0 Bytes,0,1,32 Bytes,1,Ratio: %0.00,0.00%
0,CA::Render::Object,0 Bytes,0,24004,3.20 MiB,24004,Ratio: %0.00,0.00%
0,CA::Render::Layer,0 Bytes,0,1875,263.67 KiB,1875,Ratio: %0.00,0.00%
